Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method,Brand
Foot Locker,2021-06-06,Midwest,Iowa,Men's Athletic Footwear,30,275,8250,In-store,Adidas
Amazon,2021-04-10,Midwest,Ohio,Women's Street Footwear,20,425,8500,Online,Adidas
Foot Locker,2021-03-16,South,Mississippi,Women's Street Footwear,15,425,6375,Online,Adidas
Foot Locker,2021-09-07,Midwest,Iowa,Men's Athletic Footwear,30,275,8250,In-store,Adidas
West Gear,2021-03-09,Midwest,Indiana,Women's Street Footwear,15,275,4125,In-store,Adidas
Walmart,2021-09-16,South,Mississippi,Women's Street Footwear,20,425,8500,Online,Adidas
Walmart,2021-02-21,South,Arkansas,Women's Apparel,20,425,8500,Online,Adidas
Walmart,2021-10-21,South,Arkansas,Men's Athletic Footwear,20,425,8500,Online,Adidas
West Gear,2021-03-09,Midwest,Indiana,Women's Apparel,25,275,6875,In-store,Adidas
West Gear,2021-09-11,Midwest,Indiana,Men's Athletic Footwear,30,275,8250,In-store,Adidas
Walmart,2020-05-03,Northeast,New York,Men's Street Footwear,48,420,20160,Outlet,Adidas
West Gear,2021-03-16,Northeast,West Virginia,Men's Athletic Footwear,30,275,8250,In-store,Adidas
Walmart,2020-04-19,Northeast,New York,Men's Street Footwear,39,408,15912,Outlet,Adidas
Foot Locker,2021-02-15,Northeast,Maryland,Women's Street Footwear,30,275,8250,In-store,Adidas
Walmart,2020-04-27,Northeast,New York,Men's Street Footwear,46,403,18538,Outlet,Adidas
Foot Locker,2021-03-13,Northeast,Delaware,Women's Street Footwear,30,275,8250,In-store,Adidas
West Gear,2021-03-10,West,Utah,Women's Street Footwear,20,400,8000,In-store,Adidas
West Gear,2021-06-11,West,Utah,Women's Athletic Footwear,20,400,8000,In-store,Adidas
Kohl's,2021-01-10,Northeast,Delaware,Women's Street Footwear,25,275,6875,In-store,Adidas
West Gear,2021-10-11,West,Utah,Men's Athletic Footwear,20,400,8000,In-store,Adidas
Walmart,2020-04-28,Northeast,New York,Men's Athletic Footwear,53,273,14469,Online,Adidas
West Gear,2021-01-06,West,California,Men's Street Footwear,56,273,15288,Online,Adidas
West Gear,2021-11-11,West,Utah,Men's Athletic Footwear,20,400,8000,In-store,Adidas
West Gear,2021-01-18,West,California,Men's Street Footwear,62,273,16926,Online,Adidas
West Gear,2021-02-12,West,California,Men's Athletic Footwear,58,273,15834,Online,Adidas
Kohl's,2021-05-25,West,California,Men's Street Footwear,39,315,12285,Outlet,Adidas
Sports Direct,2021-09-24,South,Texas,Women's Street Footwear,46,273,12558,Online,Adidas
Foot Locker,2020-08-06,West,Washington,Men's Street Footwear,44,273,12012,Online,Adidas
Foot Locker,2021-06-07,Southeast,South Carolina,Men's Street Footwear,51,273,13923,Online,Adidas
Walmart,2020-08-11,South,Texas,Women's Apparel,27,272,7344,Outlet,Adidas
Walmart,2021-09-16,South,Mississippi,Women's Athletic Footwear,20,400,8000,Online,Adidas
Walmart,2020-09-11,South,Texas,Men's Street Footwear,31,272,8432,Outlet,Adidas
West Gear,2020-11-13,West,California,Men's Street Footwear,36,272,9792,Outlet,Adidas
Foot Locker,2020-01-27,Northeast,New York,Women's Street Footwear,27,314,8478,Outlet,Adidas
Sports Direct,2021-02-21,South,Mississippi,Women's Street Footwear,15,400,6000,Online,Adidas
Foot Locker,2020-03-04,Northeast,New York,Men's Street Footwear,47,400,18800,Outlet,Adidas
Foot Locker,2020-03-18,Northeast,New York,Women's Street Footwear,37,314,11618,Outlet,Adidas
Foot Locker,2020-01-25,Northeast,New York,Men's Street Footwear,40,390,15600,Outlet,Adidas
Sports Direct,2021-04-23,South,Tennessee,Women's Street Footwear,39,314,12246,Outlet,Adidas
Kohl's,2021-04-26,West,California,Men's Athletic Footwear,37,272,10064,Outlet,Adidas
Foot Locker,2020-01-07,Northeast,New York,Men's Street Footwear,33,388,12804,Outlet,Adidas
Kohl's,2021-05-19,West,California,Men's Street Footwear,40,272,10880,Outlet,Adidas
Foot Locker,2020-01-01,Northeast,New York,Men's Street Footwear,34,384,13056,Outlet,Adidas
Sports Direct,2021-09-21,South,Texas,Women's Apparel,47,272,12784,Outlet,Adidas
Sports Direct,2021-04-15,South,Tennessee,Men's Street Footwear,29,272,7888,Outlet,Adidas
Foot Locker,2021-02-07,Southeast,Georgia,Men's Street Footwear,31,376,11656,Outlet,Adidas
Sports Direct,2021-04-20,South,Tennessee,Women's Apparel,38,272,10336,Outlet,Adidas
Foot Locker,2020-01-07,Northeast,New York,Men's Street Footwear,46,313,14398,Online,Adidas
Walmart,2021-06-17,Southeast,Florida,Men's Street Footwear,50,272,13600,Outlet,Adidas
Sports Direct,2021-08-22,South,Alabama,Women's Athletic Footwear,20,375,7500,Outlet,Adidas
Foot Locker,2020-03-04,Northeast,New York,Men's Street Footwear,55,313,17215,Online,Adidas
Foot Locker,2021-02-18,Midwest,Michigan,Women's Street Footwear,20,375,7500,In-store,Adidas
Walmart,2020-05-03,Northeast,New York,Men's Street Footwear,62,312,19344,Online,Adidas
West Gear,2021-08-11,West,Utah,Women's Athletic Footwear,20,375,7500,In-store,Adidas
Walmart,2021-08-17,Southeast,Florida,Men's Athletic Footwear,60,272,16320,Outlet,Adidas
Foot Locker,2021-02-07,Southeast,Georgia,Men's Street Footwear,38,312,11856,Online,Adidas
West Gear,2021-11-11,West,Utah,Women's Athletic Footwear,20,375,7500,In-store,Adidas
West Gear,2021-01-12,Southeast,Florida,Men's Street Footwear,30,272,8160,Outlet,Adidas
Foot Locker,2021-04-17,South,Mississippi,Women's Street Footwear,15,375,5625,Online,Adidas
Foot Locker,2021-07-23,Southeast,Virginia,Men's Street Footwear,60,272,16320,Outlet,Adidas
Walmart,2020-04-28,Northeast,New York,Men's Athletic Footwear,40,312,12480,Outlet,Adidas
Foot Locker,2021-08-24,Southeast,Virginia,Men's Street Footwear,67,272,18224,Outlet,Adidas
Foot Locker,2021-07-05,Southeast,South Carolina,Men's Street Footwear,63,311,19593,Online,Adidas
West Gear,2021-12-16,South,Louisiana,Men's Street Footwear,46,272,12512,Outlet,Adidas
West Gear,2021-11-20,South,Arkansas,Men's Athletic Footwear,15,375,5625,Online,Adidas
West Gear,2020-11-03,South,Texas,Women's Street Footwear,33,271,8943,Outlet,Adidas
West Gear,2021-01-23,South,Arkansas,Women's Street Footwear,15,375,5625,Online,Adidas
Foot Locker,2020-03-16,Northeast,New York,Men's Street Footwear,41,375,15375,Outlet,Adidas
Walmart,2020-08-26,South,Texas,Women's Street Footwear,29,374,10846,Outlet,Adidas
West Gear,2020-12-25,West,California,Men's Street Footwear,40,271,10840,Outlet,Adidas
Walmart,2020-09-01,South,Texas,Women's Street Footwear,29,374,10846,Outlet,Adidas
West Gear,2021-02-14,West,California,Women's Athletic Footwear,40,271,10840,Outlet,Adidas
Foot Locker,2020-01-31,Northeast,New York,Men's Street Footwear,33,372,12276,Outlet,Adidas
Sports Direct,2021-04-08,South,Tennessee,Women's Apparel,31,271,8401,Outlet,Adidas
Sports Direct,2021-04-22,South,Tennessee,Men's Athletic Footwear,44,271,11924,Outlet,Adidas
West Gear,2021-07-06,West,Idaho,Men's Athletic Footwear,40,271,10840,Outlet,Adidas
Foot Locker,2020-02-06,Northeast,New York,Men's Street Footwear,44,366,16104,Outlet,Adidas
Walmart,2020-04-19,Northeast,New York,Men's Street Footwear,56,360,20160,Online,Adidas
Foot Locker,2020-03-17,Northeast,New York,Men's Athletic Footwear,37,359,13283,Outlet,Adidas
Walmart,2020-04-18,Northeast,New York,Women's Apparel,48,355,17040,Outlet,Adidas
Foot Locker,2020-01-25,Northeast,New York,Men's Street Footwear,46,354,16284,Online,Adidas
Foot Locker,2020-03-15,Northeast,New York,Women's Apparel,47,352,16544,Outlet,Adidas
Foot Locker,2021-03-17,Midwest,Missouri,Women's Street Footwear,25,350,8750,In-store,Adidas
Foot Locker,2021-06-18,Midwest,Missouri,Women's Athletic Footwear,25,350,8750,In-store,Adidas
Foot Locker,2021-10-18,Midwest,Missouri,Men's Athletic Footwear,25,350,8750,In-store,Adidas
Foot Locker,2021-11-18,Midwest,Missouri,Men's Athletic Footwear,25,350,8750,In-store,Adidas
West Gear,2021-05-12,West,Utah,Women's Street Footwear,25,350,8750,In-store,Adidas
West Gear,2021-09-12,West,Utah,Women's Street Footwear,10,350,3500,In-store,Adidas
Amazon,2021-04-10,Midwest,Ohio,Women's Athletic Footwear,25,350,8750,Online,Adidas
Walmart,2021-10-18,South,Mississippi,Women's Athletic Footwear,25,350,8750,Online,Adidas
Sports Direct,2021-02-21,South,Mississippi,Men's Athletic Footwear,25,350,8750,Online,Adidas
Walmart,2021-03-19,South,Arkansas,Women's Street Footwear,10,350,3500,Online,Adidas
Walmart,2021-03-19,South,Arkansas,Women's Apparel,25,350,8750,Online,Adidas
Walmart,2021-09-19,South,Arkansas,Women's Street Footwear,15,350,5250,Online,Adidas
West Gear,2021-02-21,South,Oklahoma,Women's Apparel,20,350,7000,Online,Adidas
Walmart,2021-07-19,South,Arkansas,Men's Street Footwear,39,271,10569,Outlet,Adidas
West Gear,2021-10-21,South,Oklahoma,Men's Athletic Footwear,20,350,7000,Online,Adidas
Kohl's,2021-01-16,South,Oklahoma,Men's Athletic Footwear,25,350,8750,Online,Adidas
Foot Locker,2020-03-05,Northeast,New York,Men's Athletic Footwear,54,270,14580,Online,Adidas
Kohl's,2021-01-16,South,Oklahoma,Women's Street Footwear,15,350,5250,Online,Adidas
Walmart,2020-04-17,Northeast,New York,Men's Apparel,54,270,14580,Online,Adidas
Walmart,2020-04-20,Northeast,New York,Men's Athletic Footwear,50,270,13500,Online,Adidas
Walmart,2020-05-04,Northeast,New York,Men's Athletic Footwear,43,310,13330,Outlet,Adidas
Kohl's,2021-04-19,West,California,Men's Street Footwear,44,270,11880,Online,Adidas
Foot Locker,2020-03-17,Northeast,New York,Men's Athletic Footwear,53,308,16324,Online,Adidas
Sports Direct,2020-09-29,Southeast,Florida,Men's Street Footwear,56,270,15120,Online,Adidas
Sports Direct,2021-08-03,Southeast,North Carolina,Men's Street Footwear,61,308,18788,Online,Adidas
Foot Locker,2020-01-05,Northeast,New York,Men's Apparel,43,306,13158,Outlet,Adidas
West Gear,2021-07-16,South,Louisiana,Men's Street Footwear,86,270,23220,Online,Adidas
Foot Locker,2020-01-23,Northeast,New York,Men's Apparel,43,306,13158,Outlet,Adidas
Foot Locker,2021-07-05,Southeast,South Carolina,Men's Athletic Footwear,58,270,15660,Online,Adidas
Walmart,2020-04-22,Northeast,New York,Women's Athletic Footwear,34,306,10404,Outlet,Adidas
Foot Locker,2020-03-13,Northeast,New York,Women's Athletic Footwear,35,270,9450,Outlet,Adidas
Walmart,2020-05-06,Northeast,New York,Women's Athletic Footwear,41,306,12546,Outlet,Adidas
Walmart,2020-04-30,Northeast,New York,Women's Athletic Footwear,41,270,11070,Outlet,Adidas
Sports Direct,2020-07-31,South,Texas,Men's Street Footwear,20,306,6120,Outlet,Adidas
Sports Direct,2020-07-19,Northeast,New York,Men's Street Footwear,20,270,5400,Outlet,Adidas
Sports Direct,2020-08-06,South,Texas,Men's Street Footwear,23,306,7038,Outlet,Adidas
Sports Direct,2020-07-20,Northeast,New York,Men's Athletic Footwear,26,270,7020,Outlet,Adidas
Sports Direct,2020-08-07,South,Texas,Men's Athletic Footwear,29,306,8874,Outlet,Adidas
Walmart,2020-09-04,South,Texas,Women's Apparel,39,270,10530,Outlet,Adidas
Walmart,2020-10-21,South,Texas,Men's Athletic Footwear,31,306,9486,Outlet,Adidas
Walmart,2020-10-20,South,Texas,Men's Street Footwear,34,270,9180,Outlet,Adidas
Walmart,2020-10-31,South,Texas,Women's Apparel,41,306,12546,Outlet,Adidas
West Gear,2020-12-31,West,California,Men's Street Footwear,44,270,11880,Outlet,Adidas
West Gear,2021-01-11,West,California,Women's Apparel,60,306,18360,Outlet,Adidas
Walmart,2020-04-21,Northeast,New York,Women's Street Footwear,47,268,12596,Online,Adidas
West Gear,2021-02-06,West,California,Men's Athletic Footwear,46,306,14076,Outlet,Adidas
Walmart,2020-08-12,South,Texas,Men's Street Footwear,29,268,7772,Online,Adidas
Walmart,2020-08-30,South,Texas,Men's Street Footwear,37,268,9916,Online,Adidas
Kohl's,2021-05-01,West,California,Men's Street Footwear,36,306,11016,Outlet,Adidas
West Gear,2021-01-25,West,California,Men's Athletic Footwear,56,268,15008,Online,Adidas
Sports Direct,2021-04-14,South,Tennessee,Women's Apparel,37,306,11322,Outlet,Adidas
Kohl's,2021-01-16,South,Oklahoma,Women's Apparel,25,350,8750,Online,Adidas
Foot Locker,2020-08-18,Southeast,Florida,Men's Street Footwear,41,268,10988,Online,Adidas
West Gear,2021-02-17,Northeast,West Virginia,Women's Apparel,25,350,8750,In-store,Adidas
West Gear,2021-07-16,South,Louisiana,Men's Street Footwear,62,306,18972,Outlet,Adidas
Sports Direct,2021-09-14,South,Alabama,Women's Street Footwear,51,268,13668,Online,Adidas
West Gear,2021-05-08,Northeast,New York,Men's Street Footwear,50,261,13050,Online,Adidas
Foot Locker,2020-03-09,Northeast,New York,Women's Apparel,64,305,19520,Online,Adidas
Foot Locker,2020-03-11,Northeast,New York,Men's Athletic Footwear,53,267,14151,Online,Adidas
Foot Locker,2020-01-03,Northeast,New York,Women's Street Footwear,32,350,11200,Outlet,Adidas
Walmart,2020-08-30,South,Texas,Men's Street Footwear,27,305,8235,Outlet,Adidas
Foot Locker,2020-01-24,Northeast,New York,Women's Apparel,36,350,12600,Outlet,Adidas
Walmart,2020-08-31,South,Texas,Men's Athletic Footwear,33,305,10065,Outlet,Adidas
Foot Locker,2021-03-05,Southeast,South Carolina,Men's Street Footwear,33,265,8745,Online,Adidas
Foot Locker,2021-08-08,West,Idaho,Women's Street Footwear,39,305,11895,Outlet,Adidas
Walmart,2020-08-20,South,Texas,Women's Street Footwear,27,264,7128,Outlet,Adidas
Walmart,2020-09-05,South,Texas,Men's Street Footwear,33,264,8712,Outlet,Adidas
West Gear,2020-09-17,Southeast,Florida,Men's Street Footwear,60,304,18240,Online,Adidas
West Gear,2020-11-01,South,Texas,Men's Street Footwear,30,264,7920,Outlet,Adidas
Walmart,2020-08-29,South,Texas,Women's Apparel,36,302,10872,Outlet,Adidas
West Gear,2021-01-14,West,California,Women's Street Footwear,46,264,12144,Outlet,Adidas
Foot Locker,2020-01-02,Northeast,New York,Men's Athletic Footwear,47,260,12220,Online,Adidas
West Gear,2021-01-18,West,California,Men's Street Footwear,45,302,13590,Outlet,Adidas
Sports Direct,2021-04-01,South,Tennessee,Men's Apparel,30,300,9000,Outlet,Adidas
Foot Locker,2020-01-06,Northeast,New York,Women's Apparel,46,260,11960,Online,Adidas
West Gear,2021-01-17,West,California,Women's Apparel,56,264,14784,Outlet,Adidas
Foot Locker,2020-01-26,Northeast,New York,Men's Athletic Footwear,48,259,12432,Online,Adidas
Sports Direct,2021-09-28,South,Alabama,Men's Apparel,30,300,9000,Outlet,Adidas
Foot Locker,2021-05-19,Midwest,Missouri,Women's Street Footwear,30,300,9000,In-store,Adidas
Foot Locker,2020-02-07,Northeast,New York,Men's Athletic Footwear,50,259,12950,Online,Adidas
Walmart,2020-04-20,Northeast,New York,Men's Athletic Footwear,43,350,15050,Outlet,Adidas
West Gear,2021-01-29,West,California,Women's Apparel,51,264,13464,Outlet,Adidas
Foot Locker,2021-09-19,Midwest,Missouri,Women's Street Footwear,15,300,4500,In-store,Adidas
Walmart,2020-04-24,Northeast,New York,Women's Apparel,45,350,15750,Outlet,Adidas
West Gear,2021-02-11,West,Utah,Women's Athletic Footwear,20,300,6000,In-store,Adidas
Kohl's,2021-03-19,West,California,Men's Street Footwear,24,264,6336,Outlet,Adidas
Walmart,2020-08-23,South,Texas,Women's Apparel,38,350,13300,Outlet,Adidas
Kohl's,2021-04-24,West,California,Women's Apparel,48,264,12672,Outlet,Adidas
Foot Locker,2021-01-09,Southeast,Georgia,Men's Street Footwear,26,349,9074,Outlet,Adidas
Walmart,2020-08-13,South,Texas,Men's Athletic Footwear,38,259,9842,Online,Adidas
Kohl's,2021-05-02,West,California,Men's Athletic Footwear,41,264,10824,Outlet,Adidas
Foot Locker,2020-03-09,Northeast,New York,Women's Apparel,46,347,15962,Outlet,Adidas
Kohl's,2021-05-08,West,California,Men's Athletic Footwear,39,264,10296,Outlet,Adidas
West Gear,2021-11-11,West,Utah,Women's Street Footwear,20,345,6900,In-store,Adidas
West Gear,2021-01-06,West,California,Men's Street Footwear,41,341,13981,Outlet,Adidas
Kohl's,2021-05-14,West,California,Men's Athletic Footwear,43,264,11352,Outlet,Adidas
Foot Locker,2020-03-05,Northeast,New York,Men's Athletic Footwear,41,340,13940,Outlet,Adidas
Kohl's,2021-05-20,West,California,Men's Athletic Footwear,42,264,11088,Outlet,Adidas
Walmart,2020-07-18,Northeast,New York,Women's Apparel,48,340,16320,Outlet,Adidas
Sports Direct,2021-09-09,South,Texas,Women's Apparel,34,264,8976,Outlet,Adidas
Walmart,2020-08-31,South,Texas,Men's Athletic Footwear,41,259,10619,Online,Adidas
West Gear,2021-01-12,West,California,Men's Street Footwear,41,338,13858,Outlet,Adidas
Sports Direct,2021-09-17,South,Texas,Men's Athletic Footwear,34,264,8976,Outlet,Adidas
West Gear,2021-01-19,West,California,Men's Athletic Footwear,66,259,17094,Online,Adidas
Foot Locker,2020-01-01,Northeast,New York,Men's Street Footwear,47,336,15792,Online,Adidas
Sports Direct,2021-04-16,South,Tennessee,Men's Athletic Footwear,30,264,7920,Outlet,Adidas
Foot Locker,2020-02-05,Northeast,New York,Women's Apparel,39,333,12987,Outlet,Adidas
West Gear,2020-09-10,Southeast,Florida,Women's Apparel,63,259,16317,Online,Adidas
Walmart,2020-04-29,Northeast,New York,Women's Street Footwear,52,258,13416,Online,Adidas
Sports Direct,2021-05-16,South,Tennessee,Men's Athletic Footwear,37,264,9768,Outlet,Adidas
Walmart,2020-05-05,Northeast,New York,Women's Street Footwear,42,333,13986,Outlet,Adidas
Sports Direct,2021-09-07,South,Alabama,Men's Athletic Footwear,37,264,9768,Outlet,Adidas
Walmart,2020-10-26,South,Texas,Men's Street Footwear,32,333,10656,Outlet,Adidas
West Gear,2021-07-06,West,Idaho,Men's Street Footwear,35,264,9240,Outlet,Adidas
Walmart,2020-10-27,South,Texas,Men's Athletic Footwear,34,333,11322,Outlet,Adidas
Foot Locker,2021-07-06,West,Idaho,Women's Apparel,51,264,13464,Outlet,Adidas
West Gear,2021-02-12,West,California,Men's Athletic Footwear,46,332,15272,Outlet,Adidas
Foot Locker,2021-01-09,Southeast,Georgia,Women's Street Footwear,24,264,6336,Outlet,Adidas
Sports Direct,2021-09-24,South,Texas,Women's Street Footwear,35,332,11620,Outlet,Adidas
Walmart,2020-05-02,Northeast,New York,Women's Apparel,66,263,17358,Online,Adidas
West Gear,2021-10-11,West,Utah,Women's Street Footwear,20,300,6000,In-store,Adidas
Foot Locker,2020-01-06,Northeast,New York,Women's Apparel,38,330,12540,Outlet,Adidas
Amazon,2021-01-22,Midwest,Ohio,Women's Street Footwear,30,300,9000,Online,Adidas
Foot Locker,2021-04-17,South,Mississippi,Women's Athletic Footwear,20,300,6000,Online,Adidas
West Gear,2021-02-05,West,California,Men's Street Footwear,52,263,13676,Online,Adidas
Sports Direct,2021-01-23,South,Mississippi,Women's Athletic Footwear,20,300,6000,Online,Adidas
Walmart,2020-04-26,Northeast,New York,Women's Apparel,50,330,16500,Outlet,Adidas
Sports Direct,2021-09-15,South,Texas,Women's Apparel,53,263,13939,Online,Adidas
Foot Locker,2021-08-06,Southeast,South Carolina,Men's Street Footwear,62,326,20212,Online,Adidas
Sports Direct,2021-04-17,South,Tennessee,Women's Street Footwear,36,263,9468,Online,Adidas
Foot Locker,2021-08-18,Midwest,Missouri,Women's Athletic Footwear,25,325,8125,In-store,Adidas
West Gear,2021-06-10,Northeast,New York,Men's Street Footwear,59,263,15517,Online,Adidas
Foot Locker,2021-11-18,Midwest,Missouri,Women's Athletic Footwear,25,325,8125,In-store,Adidas
Sports Direct,2021-08-16,Midwest,Michigan,Men's Street Footwear,55,263,14465,Online,Adidas
Walmart,2021-04-20,South,Arkansas,Men's Athletic Footwear,25,300,7500,Online,Adidas
West Gear,2021-01-11,Midwest,Missouri,Women's Athletic Footwear,20,325,6500,In-store,Adidas
Walmart,2021-04-20,South,Arkansas,Women's Street Footwear,15,300,4500,Online,Adidas
Walmart,2021-10-21,South,Arkansas,Women's Street Footwear,20,300,6000,Online,Adidas
Kohl's,2021-11-20,South,Oklahoma,Men's Athletic Footwear,15,300,4500,Online,Adidas
Sports Direct,2021-02-04,Southeast,South Carolina,Men's Street Footwear,34,263,8942,Online,Adidas
Kohl's,2021-02-14,South,Oklahoma,Women's Street Footwear,15,300,4500,Online,Adidas
West Gear,2021-04-11,West,Utah,Men's Athletic Footwear,25,325,8125,In-store,Adidas
Sports Direct,2021-04-03,Southeast,North Carolina,Men's Street Footwear,27,263,7101,Online,Adidas
West Gear,2021-04-11,West,Utah,Women's Street Footwear,15,325,4875,In-store,Adidas
Sports Direct,2021-07-02,Southeast,North Carolina,Women's Apparel,64,263,16832,Online,Adidas
Kohl's,2021-04-13,Midwest,Kansas,Women's Apparel,30,300,9000,Online,Adidas
West Gear,2021-09-12,West,Utah,Women's Athletic Footwear,10,325,3250,In-store,Adidas
Foot Locker,2020-03-18,Northeast,New York,Women's Street Footwear,45,257,11565,Online,Adidas
Sports Direct,2020-08-01,South,Texas,Men's Athletic Footwear,30,263,7890,Outlet,Adidas
West Gear,2021-09-12,West,Utah,Men's Apparel,20,325,6500,In-store,Adidas
Walmart,2020-08-21,South,Texas,Women's Athletic Footwear,26,263,6838,Outlet,Adidas
Amazon,2021-03-09,Midwest,Ohio,Women's Athletic Footwear,25,325,8125,Online,Adidas
Foot Locker,2021-10-14,Midwest,Kansas,Women's Apparel,30,300,9000,Online,Adidas
West Gear,2021-01-13,West,California,Men's Athletic Footwear,49,263,12887,Outlet,Adidas
Foot Locker,2021-02-18,South,Mississippi,Women's Athletic Footwear,25,325,8125,Online,Adidas
West Gear,2021-06-03,Midwest,Wisconsin,Men's Athletic Footwear,30,300,9000,In-store,Adidas
West Gear,2021-01-10,Midwest,Wisconsin,Women's Street Footwear,25,300,7500,In-store,Adidas
West Gear,2021-02-10,Midwest,Indiana,Women's Apparel,20,300,6000,In-store,Adidas
West Gear,2021-01-17,Midwest,Indiana,Women's Street Footwear,25,300,7500,In-store,Adidas
Walmart,2021-03-19,South,Arkansas,Men's Athletic Footwear,20,325,6500,Online,Adidas
Walmart,2021-09-19,South,Arkansas,Women's Athletic Footwear,15,325,4875,Online,Adidas
West Gear,2021-02-17,Midwest,Indiana,Women's Street Footwear,30,300,9000,In-store,Adidas
Walmart,2021-09-19,South,Arkansas,Men's Apparel,25,325,8125,Online,Adidas
West Gear,2021-02-21,South,Arkansas,Women's Street Footwear,15,325,4875,Online,Adidas
Kohl's,2021-02-14,Midwest,Kansas,Women's Apparel,20,325,6500,Online,Adidas
Sports Direct,2021-01-07,Northeast,New Jersey,Women's Street Footwear,30,300,9000,In-store,Adidas
Foot Locker,2020-01-31,Northeast,New York,Men's Street Footwear,45,300,13500,Online,Adidas
Walmart,2020-05-04,Northeast,New York,Men's Athletic Footwear,51,300,15300,Online,Adidas
Foot Locker,2020-04-24,Southeast,Florida,Men's Street Footwear,42,256,10752,Online,Adidas
Kohl's,2021-10-14,Midwest,Kansas,Men's Athletic Footwear,20,325,6500,Online,Adidas
West Gear,2020-04-24,Southeast,Florida,Men's Street Footwear,52,300,15600,Online,Adidas
West Gear,2021-03-16,Northeast,West Virginia,Women's Street Footwear,20,325,6500,In-store,Adidas
